,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,203,"$407,150","$398,500",-2.12%,"$1,875",0.47%,18,
,May,249,"$405,134","$396,625",-2.1%,"-$24,162",-5.74%,22,
,April,206,"$425,812","$420,787",-1.18%,"$19,162",4.77%,19,
,March,182,"$407,350","$401,625",-1.4%,"$21,278",5.59%,19,
,February,114,"$386,547","$380,347",-1.6%,"-$15,715",-3.96%,19,
,January,95,"$402,175","$396,062",-1.51%,"$6,312",1.61%,30,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,96,"$400,250","$389,750",-2.62%,"$15,625",4.17%,29,
,November,160,"$382,050","$374,125",-2.07%,"$5,500",1.49%,33,
,October,187,"$379,825","$368,625",-2.94%,"-$7,750",-2.05%,29,
,September,168,"$385,025","$376,375",-2.24%,"-$3,625",-0.95%,32,
,August,190,"$391,800","$380,000",-3.01%,-$675,-0.17%,36,
,July,169,"$389,562","$380,675",-2.28%,"-$15,575",-3.93%,26,
,June,244,"$403,037","$396,250",-1.68%,"$8,775",2.26%,21,
,May,164,"$397,425","$387,475",-2.5%,"$3,725",0.97%,20,
,April,177,"$390,950","$383,750",-1.84%,"-$17,400",-4.33%,24,
,March,150,"$406,062","$401,150",-1.2%,"$18,975",4.96%,18,
,February,129,"$387,812","$382,175",-1.45%,"$81,550",27.12%,21,
,January,94,"$310,562","$300,625",-3.19%,"-$74,750",-19.91%,27,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,111,"$389,137","$375,375",-3.53%,"-$17,750",-4.51%,35,
,November,206,"$401,150","$393,125",-2%,"$22,900",6.18%,26,
,October,212,"$378,525","$370,225",-2.19%,"$17,225",4.87%,26,
,September,163,"$361,062","$353,000",-2.23%,"-$15,600",-4.23%,26,
,August,183,"$380,575","$368,600",-3.14%,$100,0.02%,25,
,July,156,"$374,450","$368,500",-1.58%,"$15,375",4.35%,19,
,June,223,"$362,200","$353,125",-2.5%,"-$30,112",-7.85%,19,
,May,344,"$373,337","$383,237",2.65%,"-$32,388",-7.79%,11,
,April,334,"$391,175","$415,625",6.25%,"$1,500",0.36%,7,
,March,312,"$386,775","$414,125",7.07%,"$22,125",5.64%,9,
,February,203,"$359,625","$392,000",9%,"-$80,625",-17.05%,10,
,January,97,"$463,912","$472,625",1.87%,"$60,750",14.74%,27,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,106,"$415,825","$411,875",-0.94%,"$69,888",20.43%,23,
,November,186,"$336,425","$341,987",1.65%,"-$33,263",-8.86%,16,
,October,166,"$369,875","$375,250",1.45%,"$56,463",17.71%,13,
,September,172,"$314,175","$318,787",1.46%,"-$22,569",-6.61%,13,
,August,224,"$336,912","$341,356",1.31%,"$12,381",3.76%,11,
,July,154,"$326,175","$328,975",0.85%,"$12,663",4%,13,
,June,233,"$316,300","$316,312",0%,"$9,200",2.99%,13,
,May,245,"$305,862","$307,112",0.4%,"$2,612",0.85%,11,
,April,249,"$306,775","$304,500",-0.74%,"$1,388",0.45%,17,
,March,200,"$303,062","$303,112",0.01%,"$8,987",3.05%,15,
,February,141,"$293,550","$294,125",0.19%,"$20,625",7.54%,13,
,January,103,"$277,800","$273,500",-1.54%,$825,0.3%,15,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,88,"$276,050","$272,675",-1.22%,"-$1,200",-0.43%,30,
,November,133,"$281,562","$273,875",-2.73%,"-$9,737",-3.43%,30,
,October,162,"$288,812","$283,612",-1.8%,"$13,987",5.18%,20,
,September,161,"$272,425","$269,625",-1.02%,"-$34,112",-11.23%,25,
,August,156,"$305,262","$303,737",-0.49%,"$36,969",13.85%,19,
,July,199,"$268,287","$266,768",-0.56%,$456,0.17%,17,
,June,235,"$271,025","$266,312",-1.73%,"-$13,938",-4.97%,21,
,May,228,"$283,075","$280,250",-0.99%,"$13,150",4.92%,14,
,April,186,"$269,500","$267,100",-0.89%,"$8,475",3.27%,17,
,March,166,"$263,425","$258,625",-1.82%,"$4,475",1.76%,21,
,February,131,"$255,362","$254,150",-0.47%,"-$5,200",-2%,22,
,January,82,"$263,062","$259,350",-1.41%,"$15,288",6.26%,34,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,83,"$249,675","$244,062",-2.24%,"-$31,925",-11.56%,27,
,November,113,"$280,900","$275,987",-1.74%,"$29,362",11.9%,30,
,October,118,"$253,312","$246,625",-2.63%,"-$7,750",-3.04%,22,
,September,128,"$261,012","$254,375",-2.54%,"-$16,312",-6.02%,21,
,August,152,"$274,037","$270,687",-1.22%,"$19,825",7.9%,24,
,July,157,"$256,212","$250,862",-2.08%,"$10,364",4.3%,28,
,June,168,"$243,662","$240,498",-1.29%,"-$24,239",-9.15%,23,
,May,230,"$268,912","$264,737",-1.55%,"$15,812",6.35%,27,
,April,183,"$252,000","$248,925",-1.22%,"$3,300",1.34%,23,
,March,126,"$250,525","$245,625",-1.95%,"-$10,750",-4.19%,23,
,February,105,"$261,050","$256,375",-1.79%,"$29,888",13.19%,20,
,January,67,"$231,400","$226,487",-2.12%,"$2,762",1.23%,20,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,60,"$227,987","$223,725",-1.86%,"-$2,587",-1.14%,42,
,November,88,"$230,325","$226,312",-1.74%,"-$7,340",-3.14%,29,
,October,125,"$238,061","$233,652",-1.85%,"-$30,323",-11.48%,32,
,September,101,"$272,400","$263,975",-3.09%,"$6,475",2.51%,63,
,August,125,"$263,700","$257,500",-2.35%,"$16,375",6.79%,36,
,July,153,"$246,062","$241,125",-2%,"-$2,687",-1.1%,28,
,June,155,"$249,762","$243,812",-2.38%,"$18,025",7.98%,33,
,May,162,"$230,862","$225,787",-2.19%,"$36,037",18.99%,29,
,April,158,"$193,675","$189,750",-2.02%,"-$75,875",-28.56%,19,
,March,127,"$272,970","$265,625",-2.69%,"$75,375",39.61%,30,
,February,88,"$195,212","$190,250",-2.54%,"-$35,975",-15.9%,18,
,January,63,"$233,537","$226,225",-3.13%,"$3,688",1.65%,36,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,54,"$229,800","$222,537",-3.16%,"-$4,150",-1.83%,50,
,November,91,"$231,487","$226,687",-2.07%,"-$1,938",-0.84%,43,
,October,106,"$235,736","$228,625",-3.01%,"$6,452",2.9%,43,
,September,97,"$228,085","$222,173",-2.59%,"-$9,420",-4.06%,41,
,August,110,"$239,925","$231,593",-3.47%,"-$9,369",-3.88%,53,
,July,126,"$248,450","$240,962",-3.01%,"$15,587",6.91%,58,
,June,145,"$230,575","$225,375",-2.25%,"$2,000",0.89%,50,
,May,175,"$226,400","$223,375",-1.33%,-$534,-0.23%,25,
,April,151,"$228,409","$223,909",-1.97%,"$33,284",17.46%,34,
,March,121,"$193,075","$190,625",-1.26%,"-$41,337",-17.82%,30,
,February,113,"$237,286","$231,962",-2.24%,"-$8,600",-3.57%,31,
,January,68,"$247,737","$240,562",-2.89%,"$19,125",8.63%,63,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,51,"$225,687","$221,437",-1.88%,"$20,375",10.13%,48,
,November,87,"$205,598","$201,062",-2.2%,"-$20,375",-9.2%,36,
,October,80,"$226,937","$221,437",-2.42%,"$4,312",1.98%,37,
,September,84,"$219,575","$217,125",-1.11%,"$7,375",3.51%,38,
,August,118,"$216,750","$209,750",-3.22%,$500,0.23%,44,
,July,106,"$213,625","$209,250",-2.04%,"$31,125",17.47%,53,
,June,116,"$183,462","$178,125",-2.9%,"-$18,612",-9.46%,36,
,May,92,"$202,050","$196,737",-2.62%,"-$7,013",-3.44%,47,
,April,93,"$207,625","$203,750",-1.86%,"-$14,487",-6.63%,35,
,March,85,"$225,187","$218,237",-3.08%,"-$9,638",-4.22%,32,
,February,70,"$233,800","$227,875",-2.53%,"$61,688",37.11%,38,
,January,46,"$171,687","$166,187",-3.2%,"-$24,563",-12.87%,76,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,43,"$195,537","$190,750",-2.44%,"-$44,687",-18.98%,82,
,November,52,"$244,652","$235,437",-3.76%,"$71,687",43.77%,48,
