,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,827,"$598,218","$591,675",-1.09%,"$6,188",1.05%,13,
,May,990,"$587,062","$585,487",-0.26%,"$5,987",1.03%,13,
,April,806,"$579,925","$579,500",-0.07%,"$8,763",1.53%,13,
,March,700,"$575,887","$570,737",-0.89%,"$10,425",1.86%,12,
,February,453,"$567,787","$560,312",-1.31%,"-$7,150",-1.25%,15,
,January,454,"$573,047","$567,462",-0.97%,"$19,275",3.51%,19,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,335,"$561,437","$548,187",-2.36%,"-$11,125",-1.98%,21,
,November,561,"$568,437","$559,312",-1.6%,"$13,000",2.37%,20,
,October,612,"$558,425","$546,312",-2.16%,"-$3,563",-0.64%,21,
,September,562,"$555,959","$549,875",-1.09%,"-$5,375",-0.96%,16,
,August,643,"$564,837","$555,250",-1.69%,"-$9,250",-1.63%,17,
,July,580,"$575,949","$564,500",-1.98%,"$8,375",1.5%,18,
,June,690,"$562,236","$556,125",-1.08%,"-$1,531",-0.27%,16,
,May,847,"$566,750","$557,656",-1.6%,"$2,094",0.37%,16,
,April,805,"$561,450","$555,562",-1.04%,"$3,403",0.61%,13,
,March,675,"$559,900","$552,159",-1.38%,"-$2,716",-0.48%,12,
,February,457,"$564,924","$554,875",-1.77%,"$20,813",3.89%,15,
,January,352,"$544,758","$534,062",-1.96%,"$2,937",0.55%,26,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,449,"$540,412","$531,125",-1.71%,"$8,875",1.69%,20,
,November,677,"$535,212","$522,250",-2.42%,$125,0.02%,17,
,October,532,"$533,937","$522,125",-2.21%,"-$1,860",-0.35%,22,
,September,476,"$536,175","$523,985",-2.27%,"$2,998",0.57%,17,
,August,477,"$528,037","$520,987",-1.33%,"-$6,513",-1.23%,22,
,July,407,"$529,900","$527,500",-0.45%,"-$7,562",-1.41%,18,
,June,602,"$531,825","$535,062",0.6%,"-$23,813",-4.26%,15,
,May,853,"$539,400","$558,875",3.61%,"-$33,750",-5.69%,10,
,April,"1,130","$542,625","$592,625",9.21%,"$9,688",1.66%,6,
,March,"1,053","$532,371","$582,937",9.49%,"$31,687",5.74%,5,
,February,816,"$517,724","$551,250",6.47%,"$35,025",6.78%,7,
,January,518,"$502,424","$516,225",2.74%,"$42,100",8.87%,8,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,530,"$474,575","$474,125",-0.09%,"-$10,625",-2.19%,14,
,November,705,"$480,299","$484,750",0.92%,"$8,688",1.82%,11,
,October,786,"$466,700","$476,062",2%,"$5,375",1.14%,11,
,September,791,"$462,275","$470,687",1.81%,"$2,187",0.46%,13,
,August,971,"$456,425","$468,500",2.64%,"$9,875",2.15%,9,
,July,812,"$441,550","$458,625",3.86%,"$6,938",1.53%,11,
,June,"1,203","$434,000","$451,687",4.07%,"$6,937",1.55%,10,
,May,"1,305","$436,950","$444,750",1.78%,"$16,750",3.91%,11,
,April,"1,172","$421,700","$428,000",1.49%,"$8,000",1.9%,10,
,March,"1,067","$416,313","$420,000",0.88%,"$6,313",1.52%,12,
,February,769,"$412,850","$413,687",0.2%,"$21,937",5.59%,12,
,January,553,"$395,537","$391,750",-0.95%,"$1,063",0.27%,15,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,463,"$394,700","$390,687",-1.01%,"-$1,812",-0.46%,18,
,November,667,"$397,809","$392,499",-1.33%,"$13,874",3.66%,16,
,October,772,"$383,050","$378,625",-1.15%,"-$3,312",-0.86%,16,
,September,765,"$385,237","$381,937",-0.85%,"$5,187",1.37%,16,
,August,847,"$378,062","$376,750",-0.34%,$763,0.2%,16,
,July,"1,011","$378,645","$375,987",-0.7%,"-$2,263",-0.59%,15,
,June,"1,088","$382,400","$378,250",-1.08%,"-$2,625",-0.68%,15,
,May,"1,154","$385,275","$380,875",-1.14%,"$9,625",2.59%,14,
,April,"1,099","$376,712","$371,250",-1.44%,"$5,375",1.46%,13,
,March,879,"$369,051","$365,875",-0.86%,"$7,625",2.12%,13,
,February,603,"$361,587","$358,250",-0.92%,"$6,000",1.7%,16,
,January,455,"$356,650","$352,250",-1.23%,"-$2,961",-0.83%,20,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,405,"$363,700","$355,211",-2.33%,"$7,211",2.07%,27,
,November,574,"$354,924","$348,000",-1.95%,"-$2,500",-0.71%,21,
,October,711,"$356,562","$350,500",-1.7%,"-$1,437",-0.4%,21,
,September,680,"$361,048","$351,937",-2.52%,"-$1,313",-0.37%,19,
,August,792,"$355,950","$353,250",-0.75%,"$1,375",0.39%,18,
,July,906,"$359,364","$351,875",-2.08%,"-$4,125",-1.15%,19,
,June,958,"$360,675","$356,000",-1.29%,"$10,500",3.03%,18,
,May,"1,054","$353,675","$345,500",-2.31%,$875,0.25%,21,
,April,964,"$351,387","$344,625",-1.92%,"$10,650",3.18%,15,
,March,776,"$338,425","$333,975",-1.31%,"-$8,675",-2.53%,17,
,February,522,"$349,350","$342,650",-1.91%,"$12,275",3.71%,20,
,January,321,"$336,150","$330,375",-1.71%,"-$6,875",-2.03%,26,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,331,"$345,050","$337,250",-2.26%,"$8,500",2.58%,27,
,November,583,"$338,425","$328,750",-2.85%,"$8,250",2.57%,27,
,October,538,"$327,563","$320,500",-2.15%,"-$5,375",-1.64%,23,
,September,682,"$333,912","$325,875",-2.4%,"-$2,125",-0.64%,24,
,August,750,"$334,900","$328,000",-2.06%,"$7,500",2.34%,25,
,July,791,"$327,837","$320,500",-2.23%,"-$4,125",-1.27%,25,
,June,856,"$332,347","$324,625",-2.32%,"-$4,975",-1.5%,22,
,May,931,"$337,425","$329,600",-2.31%,"$3,488",1.06%,20,
,April,878,"$332,787","$326,112",-2%,"$5,050",1.57%,19,
,March,787,"$326,787","$321,062",-1.75%,$287,0.08%,23,
,February,516,"$325,412","$320,775",-1.42%,"$4,038",1.27%,21,
,January,443,"$322,994","$316,737",-1.93%,"$11,050",3.61%,28,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,356,"$316,850","$305,687",-3.52%,"-$5,813",-1.86%,30,
,November,484,"$318,600","$311,500",-2.22%,"-$1,000",-0.32%,28,
,October,575,"$319,012","$312,500",-2.04%,"-$7,225",-2.25%,23,
,September,525,"$326,437","$319,725",-2.05%,"$7,363",2.35%,21,
,August,647,"$318,625","$312,362",-1.96%,"-$2,513",-0.79%,22,
,July,768,"$320,950","$314,875",-1.89%,$0,0%,19,
,June,921,"$320,112","$314,875",-1.63%,"-$4,000",-1.25%,19,
,May,992,"$324,900","$318,875",-1.85%,"$4,050",1.28%,18,
,April,999,"$320,712","$314,825",-1.83%,"$3,263",1.04%,15,
,March,868,"$317,812","$311,562",-1.96%,"$5,000",1.63%,17,
,February,653,"$310,341","$306,562",-1.21%,"$3,187",1.05%,16,
,January,510,"$310,575","$303,375",-2.31%,"$7,900",2.67%,26,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,461,"$304,087","$295,475",-2.83%,"-$4,012",-1.33%,26,
,November,554,"$306,675","$299,487",-2.34%,"-$3,963",-1.3%,22,
,October,636,"$309,962","$303,450",-2.1%,"$1,263",0.41%,19,
,September,657,"$307,287","$302,187",-1.65%,$450,0.14%,20,
,August,659,"$307,786","$301,737",-1.96%,"$6,487",2.19%,17,
,July,746,"$300,800","$295,250",-1.84%,"$3,094",1.05%,19,
,June,821,"$297,150","$292,156",-1.68%,"-$1,531",-0.52%,18,
,May,832,"$300,137","$293,687",-2.14%,"-$3,113",-1.04%,20,
,April,806,"$301,556","$296,800",-1.57%,"$12,637",4.44%,18,
,March,792,"$289,337","$284,163",-1.78%,"-$1,587",-0.55%,19,
,February,592,"$292,175","$285,750",-2.19%,"$4,750",1.69%,18,
,January,427,"$285,959","$281,000",-1.73%,"$5,425",1.96%,23,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,356,"$284,037","$275,575",-2.97%,"-$3,675",-1.31%,27,
,November,522,"$287,075","$279,250",-2.72%,"$4,550",1.65%,24,
,October,536,"$281,450","$274,700",-2.39%,"$1,363",0.49%,25,
,September,577,"$279,787","$273,337",-2.3%,"-$6,169",-2.2%,23,
,August,574,"$286,537","$279,506",-2.45%,"$12,081",4.51%,24,
,July,589,"$274,647","$267,425",-2.62%,"-$3,950",-1.45%,28,
,June,676,"$278,875","$271,375",-2.68%,"-$6,812",-2.44%,23,
,May,791,"$283,672","$278,187",-1.93%,"$1,187",0.42%,18,
,April,"1,040","$283,425","$277,000",-2.26%,"$4,000",1.46%,18,
,March,"1,078","$277,422","$273,000",-1.59%,"$7,625",2.87%,17,
,February,685,"$271,225","$265,375",-2.15%,"-$4,087",-1.51%,16,
,January,523,"$275,450","$269,462",-2.17%,"$9,837",3.78%,20,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,481,"$266,663","$259,625",-2.63%,"-$3,375",-1.28%,23,
