,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,173,"$444,531","$440,125",-0.99%,"$11,738",2.74%,14,
,May,188,"$429,912","$428,387",-0.35%,"-$6,438",-1.48%,19,
,April,175,"$433,725","$434,825",0.25%,"$15,975",3.81%,19,
,March,158,"$421,662","$418,850",-0.66%,"$8,225",2%,15,
,February,99,"$413,675","$410,625",-0.73%,"-$4,287",-1.03%,14,
,January,102,"$417,475","$414,912",-0.61%,"-$55,088",-11.72%,15,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,64,"$494,150","$470,000",-4.88%,"$29,500",6.69%,43,
,November,107,"$448,425","$440,500",-1.76%,"$35,263",8.7%,23,
,October,137,"$410,050","$405,237",-1.17%,"-$16,700",-3.95%,21,
,September,121,"$426,775","$421,937",-1.13%,"-$30,438",-6.72%,17,
,August,164,"$464,300","$452,375",-2.56%,"$23,913",5.58%,19,
,July,130,"$428,673","$428,462",-0.04%,"$12,475",2.99%,15,
,June,154,"$421,175","$415,987",-1.23%,"-$7,113",-1.68%,19,
,May,171,"$426,831","$423,100",-0.87%,"-$16,293",-3.7%,14,
,April,169,"$440,967","$439,393",-0.35%,"$20,181",4.81%,13,
,March,132,"$421,687","$419,212",-0.58%,"-$5,163",-1.21%,10,
,February,100,"$423,650","$424,375",0.17%,"$20,463",5.06%,10,
,January,79,"$410,537","$403,912",-1.61%,"-$22,338",-5.24%,21,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,79,"$437,437","$426,250",-2.55%,"$26,750",6.69%,13,
,November,149,"$405,375","$399,500",-1.44%,"$9,950",2.55%,19,
,October,153,"$393,087","$389,550",-0.89%,"-$5,925",-1.49%,17,
,September,138,"$401,150","$395,475",-1.41%,"$4,725",1.2%,17,
