,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,354,"$460,825","$452,875",-1.72%,"-$1,111",-0.24%,19,
,May,448,"$458,750","$453,986",-1.03%,"-$3,251",-0.71%,19,
,April,365,"$463,346","$457,237",-1.31%,"-$2,061",-0.44%,19,
,March,334,"$462,537","$459,298",-0.7%,"$15,548",3.5%,19,
,February,246,"$451,550","$443,750",-1.72%,"$10,500",2.42%,19,
,January,183,"$447,287","$433,250",-3.13%,"-$9,000",-2.03%,25,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,163,"$454,175","$442,250",-2.62%,"$4,938",1.12%,29,
,November,264,"$446,050","$437,312",-1.95%,"$5,375",1.24%,29,
,October,291,"$442,187","$431,937",-2.31%,"-$26,625",-5.8%,27,
,September,242,"$467,875","$458,562",-1.99%,"$7,500",1.66%,22,
,August,266,"$460,337","$451,062",-2.01%,"-$11,388",-2.46%,27,
,July,243,"$476,787","$462,450",-3%,-$987,-0.21%,21,
,June,256,"$472,962","$463,437",-2.01%,"$13,812",3.07%,18,
,May,297,"$456,587","$449,625",-1.52%,"$6,700",1.51%,16,
,April,277,"$446,662","$442,925",-0.83%,"$3,471",0.78%,15,
,March,267,"$446,450","$439,454",-1.56%,"-$11,596",-2.57%,15,
,February,195,"$460,447","$451,050",-2.04%,"$33,300",7.97%,16,
,January,157,"$429,787","$417,750",-2.8%,"$10,388",2.55%,35,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,193,"$423,049","$407,362",-3.7%,"-$4,200",-1.02%,26,
,November,238,"$427,260","$411,562",-3.67%,"-$13,875",-3.26%,30,
,October,212,"$437,712","$425,437",-2.8%,"-$13,925",-3.16%,22,
,September,171,"$445,775","$439,362",-1.43%,"-$2,013",-0.45%,29,
,August,196,"$451,081","$441,375",-2.15%,"$15,125",3.54%,24,
,July,154,"$438,025","$426,250",-2.68%,$162,0.03%,23,
,June,256,"$418,412","$426,088",1.83%,"-$9,537",-2.18%,13,
,May,357,"$414,675","$435,625",5.05%,"-$35,875",-7.6%,8,
,April,325,"$432,437","$471,500",9.03%,"$31,737",7.21%,6,
,March,343,"$422,805","$439,763",4.01%,"-$1,268",-0.28%,9,
,February,210,"$422,506","$441,031",4.38%,"-$6,781",-1.51%,12,
,January,154,"$445,012","$447,812",0.62%,"$76,150",20.48%,13,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,143,"$372,175","$371,662",-0.13%,"-$11,338",-2.96%,16,
,November,218,"$382,447","$383,000",0.14%,"-$7,937",-2.03%,13,
,October,196,"$385,962","$390,937",1.28%,"$8,062",2.1%,13,
,September,162,"$379,304","$382,875",0.94%,"-$4,812",-1.24%,11,
,August,208,"$379,937","$387,687",2.03%,"$7,682",2.02%,12,
,July,171,"$378,184","$380,005",0.48%,"-$14,332",-3.63%,14,
,June,287,"$388,693","$394,337",1.45%,"$8,212",2.12%,15,
,May,264,"$385,837","$386,125",0.07%,"$25,250",6.99%,10,
,April,221,"$357,696","$360,875",0.88%,"$6,875",1.94%,14,
,March,235,"$359,912","$354,000",-1.64%,"$18,028",5.36%,17,
,February,174,"$341,412","$335,972",-1.59%,"-$7,528",-2.19%,18,
,January,108,"$347,186","$343,500",-1.06%,"$39,375",12.94%,25,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,105,"$315,700","$304,125",-3.66%,"-$7,581",-2.43%,29,
,November,133,"$314,687","$311,706",-0.94%,"-$31,306",-9.12%,20,
,October,151,"$343,311","$343,012",-0.08%,"$21,262",6.6%,21,
,September,153,"$326,837","$321,750",-1.55%,"$18,700",6.17%,19,
,August,127,"$307,324","$303,050",-1.39%,"-$33,500",-9.95%,22,
,July,186,"$340,937","$336,550",-1.28%,"$25,550",8.21%,20,
,June,200,"$314,687","$311,000",-1.17%,"-$17,437",-5.3%,13,
,May,215,"$335,537","$328,437",-2.11%,"$11,062",3.48%,17,
,April,173,"$322,687","$317,375",-1.64%,"-$18,737",-5.57%,15,
,March,161,"$343,450","$336,112",-2.13%,"$5,537",1.67%,20,
,February,102,"$335,875","$330,575",-1.57%,"$48,538",17.2%,18,
,January,83,"$289,717","$282,037",-2.65%,"$47,050",20.02%,45,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,69,"$243,425","$234,987",-3.46%,"-$65,075",-21.68%,24,
,November,119,"$307,775","$300,062",-2.5%,"$46,712",18.43%,21,
,October,103,"$262,437","$253,350",-3.46%,"-$119,212",-31.99%,29,
,September,99,"$384,775","$372,562",-3.17%,"$56,687",17.94%,17,
,August,113,"$321,875","$315,875",-1.86%,"$25,900",8.93%,28,
,July,134,"$297,449","$289,975",-2.51%,"-$21,712",-6.96%,22,
,June,140,"$319,573","$311,687",-2.46%,"$10,452",3.46%,27,
,May,152,"$305,812","$301,235",-1.49%,"$13,110",4.55%,18,
,April,118,"$294,949","$288,125",-2.31%,"-$41,625",-12.62%,13,
,March,87,"$333,437","$329,750",-1.1%,"$24,375",7.98%,20,
,February,62,"$308,337","$305,375",-0.96%,"$24,625",8.77%,18,
,January,68,"$285,275","$280,750",-1.58%,"-$63,700",-18.49%,35,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,45,"$348,936","$344,450",-1.28%,"$91,888",36.38%,37,
,November,65,"$261,150","$252,562",-3.28%,"-$25,875",-9.29%,25,
,October,80,"$286,673","$278,437",-2.87%,"$53,825",23.96%,32,
,September,87,"$229,925","$224,612",-2.31%,"-$55,638",-19.85%,20,
,August,89,"$286,675","$280,250",-2.24%,-$125,-0.04%,36,
