,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,70,"$369,337","$356,687",-3.42%,"-$6,788",-1.86%,23,
,May,79,"$377,174","$363,475",-3.63%,"-$36,687",-9.16%,26,
,April,73,"$410,075","$400,162",-2.41%,"$51,787",14.86%,11,
,March,74,"$363,074","$348,375",-4.04%,"-$169,875",-32.77%,34,
,February,51,"$541,599","$518,250",-4.31%,"$272,875",111.2%,16,
,January,47,"$250,962","$245,375",-2.22%,"-$142,187",-36.68%,17,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,23,"$400,448","$387,562",-3.21%,"$44,942",13.11%,34,
,November,39,"$355,737","$342,620",-3.68%,"-$76,492",-18.25%,15,
,October,56,"$430,349","$419,112",-2.61%,"$71,612",20.6%,41,
,September,53,"$354,750","$347,500",-2.04%,"-$381,625",-52.34%,18,
,August,63,"$755,349","$729,125",-3.47%,"$474,750",186.63%,32,
,July,56,"$264,112","$254,375",-3.68%,"$4,375",1.75%,14,
,June,69,"$253,675","$250,000",-1.44%,"-$9,000",-3.47%,8,
,May,61,"$271,100","$259,000",-4.46%,"-$76,875",-22.88%,10,
,April,64,"$339,461","$335,875",-1.05%,"$92,875",38.22%,9,
,March,50,"$246,225","$243,000",-1.3%,"-$147,562",-37.78%,11,
,February,32,"$400,562","$390,562",-2.49%,"$169,812",76.92%,15,
,January,28,"$228,725","$220,750",-3.48%,"-$16,500",-6.95%,12,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,29,"$245,462","$237,250",-3.34%,"$5,000",2.15%,14,
,November,44,"$242,086","$232,250",-4.06%,"-$218,250",-48.44%,18,
,October,46,"$459,312","$450,500",-1.91%,"$200,875",80.47%,30,
,September,36,"$254,225","$249,625",-1.8%,"-$114,125",-31.37%,12,
,August,34,"$377,200","$363,750",-3.56%,"$121,431",50.11%,32,
,July,34,"$243,725","$242,319",-0.57%,"-$9,993",-3.96%,14,
,June,62,"$255,487","$252,312",-1.24%,"-$14,688",-5.5%,8,
,May,79,"$257,225","$267,000",3.8%,"-$15,500",-5.48%,5,
,April,109,"$267,475","$282,500",5.61%,"$2,500",0.89%,3,
,March,100,"$259,725","$280,000",7.8%,"$25,000",9.8%,2,
,February,51,"$237,086","$255,000",7.55%,"-$2,750",-1.06%,1,
,January,44,"$257,225","$257,750",0.2%,"-$3,500",-1.33%,3,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,28,"$264,950","$261,250",-1.39%,"$23,488",9.87%,8,
,November,47,"$234,850","$237,762",1.23%,"$18,075",8.22%,4,
,October,52,"$219,037","$219,687",0.29%,"$3,750",1.73%,3,
,September,75,"$218,725","$215,937",-1.27%,"-$2,813",-1.28%,5,
,August,52,"$219,850","$218,750",-0.5%,"$7,763",3.67%,6,
,July,69,"$211,224","$210,987",-0.11%,-$263,-0.12%,4,
,June,103,"$208,725","$211,250",1.2%,"$3,275",1.57%,5,
,May,105,"$207,850","$207,975",0.06%,"$19,350",10.25%,5,
,April,102,"$190,575","$188,625",-1.02%,"-$6,375",-3.26%,5,
,March,70,"$193,725","$195,000",0.65%,"$4,750",2.49%,3,
,February,38,"$193,950","$190,250",-1.9%,"$4,438",2.38%,7,
,January,24,"$188,724","$185,812",-1.54%,"-$4,700",-2.46%,12,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,24,"$194,321","$190,512",-1.96%,"$21,787",12.91%,11,
,November,38,"$169,925","$168,725",-0.7%,"-$9,212",-5.17%,10,
,October,47,"$180,700","$177,937",-1.52%,-$463,-0.25%,16,
,September,56,"$182,075","$178,400",-2.01%,"-$4,825",-2.63%,11,
,August,68,"$185,975","$183,225",-1.47%,"$10,007",5.77%,9,
,July,81,"$177,100","$173,218",-2.19%,"-$9,782",-5.34%,12,
,June,53,"$187,362","$183,000",-2.32%,"$10,000",5.78%,6,
,May,92,"$178,700","$173,000",-3.18%,$0,0%,10,
,April,67,"$171,775","$173,000",0.71%,"-$2,000",-1.14%,7,
,March,50,"$176,197","$175,000",-0.67%,"$3,500",2.04%,6,
,February,37,"$175,300","$171,500",-2.16%,"$20,875",13.85%,20,
,January,34,"$152,450","$150,625",-1.19%,"$5,125",3.52%,10,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,26,"$148,700","$145,500",-2.15%,"-$9,000",-5.82%,14,
,November,33,"$158,300","$154,500",-2.4%,$750,0.48%,18,
,October,51,"$156,200","$153,750",-1.56%,"-$1,250",-0.8%,14,
,September,59,"$157,237","$155,000",-1.42%,$875,0.56%,14,
,August,52,"$157,725","$154,125",-2.28%,"-$4,625",-2.91%,17,
,July,73,"$161,575","$158,750",-1.74%,"$5,139",3.34%,12,
,June,76,"$156,586","$153,611",-1.89%,"$2,636",1.74%,11,
,May,59,"$154,950","$150,975",-2.56%,"-$10,150",-6.29%,12,
,April,53,"$163,075","$161,125",-1.19%,"$8,438",5.52%,10,
,March,46,"$154,337","$152,687",-1.06%,"-$8,550",-5.3%,10,
,February,33,"$163,112","$161,237",-1.14%,"$16,050",11.05%,10,
,January,19,"$149,950","$145,187",-3.17%,"$14,750",11.3%,26,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,21,"$132,423","$130,437",-1.49%,"-$3,313",-2.47%,11,
,November,34,"$137,225","$133,750",-2.53%,"-$2,362",-1.73%,11,
,October,50,"$142,431","$136,112",-4.43%,"-$18,388",-11.9%,18,
,September,44,"$157,450","$154,500",-1.87%,"$21,813",16.43%,7,
,August,40,"$136,187","$132,687",-2.56%,"-$4,813",-3.5%,13,
,July,67,"$143,537","$137,500",-4.2%,"$5,500",4.16%,11,
,June,60,"$134,999","$132,000",-2.22%,"-$10,375",-7.28%,12,
,May,60,"$144,974","$142,375",-1.79%,"$1,125",0.79%,10,
,April,51,"$144,350","$141,250",-2.14%,"$6,563",4.87%,13,
,March,45,"$136,937","$134,687",-1.64%,"-$6,800",-4.8%,14,
,February,28,"$146,825","$141,487",-3.63%,"$53,237",60.32%,15,
,January,17,"$89,750","$88,250",-1.67%,"-$38,500",-30.37%,17,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,27,"$134,612","$126,750",-5.84%,"-$2,125",-1.64%,14,
,November,37,"$132,850","$128,875",-2.99%,"-$4,537",-3.4%,19,
,October,39,"$138,700","$133,412",-3.81%,"-$5,213",-3.76%,16,
,September,45,"$141,075","$138,625",-1.73%,-$247,-0.17%,14,
,August,34,"$141,972","$138,872",-2.18%,"$7,872",6%,43,
,July,58,"$131,725","$131,000",-0.55%,"-$11,112",-7.81%,21,
,June,59,"$145,598","$142,112",-2.39%,"-$41,838",-22.74%,11,
,May,71,"$186,950","$183,950",-1.6%,"$44,700",32.1%,37,
,April,52,"$140,972","$139,250",-1.22%,"-$31,975",-18.67%,12,
,March,52,"$172,850","$171,225",-0.94%,"$42,488",33%,28,
,February,33,"$129,287","$128,737",-0.42%,"-$50,300",-28.09%,12,
,January,23,"$182,411","$179,037",-1.84%,"$61,537",52.37%,23,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,22,"$120,712","$117,500",-2.66%,"-$11,475",-8.89%,18,
,November,34,"$132,000","$128,975",-2.29%,"-$4,275",-3.2%,17,
,October,32,"$137,450","$133,250",-3.05%,"$9,125",7.35%,23,
,September,42,"$128,450","$124,125",-3.36%,"-$1,750",-1.39%,15,
,August,34,"$129,037","$125,875",-2.45%,"-$5,186",-3.95%,18,
,July,47,"$134,086","$131,061",-2.25%,"$7,561",6.12%,12,
,June,59,"$124,950","$123,500",-1.16%,"-$3,987",-3.12%,16,
,May,36,"$130,575","$127,487",-2.36%,"-$3,513",-2.68%,18,
,April,64,"$132,287","$131,000",-0.97%,"$4,625",3.65%,13,
,March,40,"$129,837","$126,375",-2.66%,"$5,750",4.76%,15,
,February,32,"$123,634","$120,625",-2.43%,$0,0%,12,
,January,23,"$123,537","$120,625",-2.35%,"-$4,375",-3.5%,25,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,23,"$128,712","$125,000",-2.88%,"$14,500",13.12%,31,
,November,36,"$114,950","$110,500",-3.87%,"-$7,125",-6.05%,25,
,October,25,"$119,451","$117,625",-1.52%,"$2,625",2.28%,16,
,September,44,"$118,700","$115,000",-3.11%,"-$7,500",-6.12%,15,
,August,40,"$125,975","$122,500",-2.75%,"-$5,000",-3.92%,25,
,July,36,"$128,700","$127,500",-0.93%,"$13,250",11.59%,16,
,June,41,"$118,462","$114,250",-3.55%,$875,0.77%,29,
,May,54,"$116,625","$113,375",-2.78%,"$47,438",71.94%,15,
,April,54,"$68,737","$65,937",-4.07%,"-$57,813",-46.71%,8,
,March,42,"$125,225","$123,750",-1.17%,$688,0.55%,12,
,February,33,"$126,400","$123,062",-2.64%,"$14,462",13.31%,16,
,January,21,"$110,087","$108,600",-1.35%,"$45,850",73.06%,24,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,16,"$65,600","$62,750",-4.34%,"-$47,062",-42.85%,17,
,November,35,"$112,737","$109,812",-2.59%,"$41,062",59.72%,15,
,October,39,"$69,975","$68,750",-1.75%,"-$114,875",-62.55%,12,
,September,42,"$185,325","$183,625",-0.91%,"$62,563",51.67%,16,
,August,35,"$122,362","$121,062",-1.06%,"-$69,063",-36.32%,40,
,July,45,"$191,125","$190,125",-0.52%,"$16,000",9.18%,24,
,June,55,"$176,475","$174,125",-1.33%,"$47,125",37.1%,28,
,May,36,"$128,475","$127,000",-1.14%,"-$61,500",-32.62%,18,
,April,36,"$191,950","$188,500",-1.79%,"$80,188",74.03%,20,
,March,23,"$112,400","$108,312",-3.63%,"-$3,625",-3.23%,21,
,February,16,"$115,587","$111,937",-3.15%,"-$13,125",-10.49%,28,
,January,13,"$128,487","$125,062",-2.66%,"$125,062",0%,46,
