,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,246,"$731,787","$720,150",-1.59%,"-$25,600",-3.43%,17,
,May,373,"$758,587","$745,750",-1.69%,"$12,000",1.63%,18,
,April,353,"$751,808","$733,750",-2.4%,"-$20,125",-2.66%,17,
,March,275,"$769,200","$753,875",-1.99%,"$51,188",7.28%,18,
,February,157,"$717,200","$702,687",-2.02%,"-$34,400",-4.66%,17,
,January,163,"$756,750","$737,087",-2.59%,"$30,962",4.38%,28,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,119,"$737,700","$706,125",-4.28%,"-$22,750",-3.12%,32,
,November,187,"$756,687","$728,875",-3.67%,"$5,625",0.77%,23,
,October,240,"$742,787","$723,250",-2.63%,"-$29,750",-3.95%,23,
,September,221,"$776,661","$753,000",-3.04%,"$17,625",2.39%,17,
,August,249,"$755,925","$735,375",-2.71%,"$7,188",0.98%,26,
,July,251,"$744,362","$728,187",-2.17%,"-$1,688",-0.23%,26,
,June,300,"$749,337","$729,875",-2.59%,"$10,688",1.48%,20,
,May,318,"$742,687","$719,187",-3.16%,$375,0.05%,20,
,April,281,"$740,325","$718,812",-2.9%,"$1,625",0.22%,17,
,March,271,"$734,304","$717,187",-2.33%,"-$10,875",-1.49%,14,
,February,222,"$748,173","$728,062",-2.68%,"$32,062",4.6%,17,
,January,132,"$724,100","$696,000",-3.88%,"$5,250",0.76%,35,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,139,"$703,699","$690,750",-1.84%,"-$7,500",-1.07%,27,
,November,241,"$723,787","$698,250",-3.52%,"-$3,812",-0.54%,22,
,October,218,"$725,323","$702,062",-3.2%,"-$26,813",-3.67%,23,
,September,179,"$758,850","$728,875",-3.95%,"$49,250",7.24%,21,
,August,178,"$696,061","$679,625",-2.36%,"-$22,862",-3.25%,21,
,July,137,"$717,425","$702,487",-2.08%,"-$28,888",-3.94%,21,
,June,217,"$748,600","$731,375",-2.3%,"-$5,812",-0.78%,18,
,May,307,"$725,125","$737,187",1.66%,"-$66,075",-8.22%,12,
,April,408,"$730,800","$803,262",9.91%,"-$42,863",-5.06%,7,
,March,456,"$781,686","$846,125",8.24%,"$36,737",4.53%,8,
,February,332,"$755,448","$809,388",7.14%,"$102,290",14.46%,7,
,January,188,"$667,230","$707,098",5.97%,"$22,314",3.25%,9,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,163,"$668,180","$684,784",2.48%,"-$6,716",-0.97%,13,
,November,290,"$676,975","$691,500",2.14%,"-$16,625",-2.34%,14,
,October,311,"$706,925","$708,125",0.16%,"$22,138",3.22%,12,
,September,288,"$683,950","$685,987",0.29%,"$42,137",6.54%,12,
,August,278,"$631,550","$643,850",1.94%,"-$9,100",-1.39%,13,
,July,215,"$662,970","$652,950",-1.51%,"$1,202",0.18%,14,
,June,466,"$618,648","$651,748",5.35%,"-$4,089",-0.62%,13,
,May,497,"$628,562","$655,837",4.33%,"$5,675",0.87%,12,
,April,493,"$630,212","$650,162",3.16%,"$19,112",3.02%,13,
,March,355,"$624,422","$631,050",1.06%,"$40,250",6.81%,12,
,February,295,"$587,449","$590,800",0.57%,"$4,675",0.79%,12,
,January,174,"$593,425","$586,125",-1.23%,"$33,700",6.1%,17,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,134,"$561,443","$552,425",-1.6%,"-$3,825",-0.68%,28,
,November,232,"$564,781","$556,250",-1.51%,"$24,625",4.63%,24,
,October,282,"$537,687","$531,625",-1.12%,"-$3,250",-0.6%,15,
,September,291,"$539,850","$534,875",-0.92%,"-$1,362",-0.25%,16,
,August,262,"$542,062","$536,237",-1.07%,"-$14,188",-2.57%,20,
,July,329,"$550,911","$550,425",-0.08%,"$6,425",1.18%,18,
,June,399,"$552,150","$544,000",-1.47%,"$6,375",1.18%,17,
