,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,260,"$412,425","$407,000",-1.31%,"-$10,875",-2.6%,19,
,May,310,"$419,937","$417,875",-0.49%,"$13,188",3.25%,14,
,April,258,"$407,800","$404,687",-0.76%,"$16,087",4.13%,13,
,March,225,"$391,148","$388,600",-0.65%,"$13,913",3.71%,14,
,February,159,"$380,100","$374,687",-1.42%,"-$2,563",-0.67%,21,
,January,158,"$391,424","$377,250",-3.62%,"-$1,375",-0.36%,34,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,111,"$378,324","$378,625",0.07%,"-$8,487",-2.19%,24,
,November,207,"$391,037","$387,112",-1%,"$15,612",4.2%,16,
,October,204,"$383,175","$371,500",-3.04%,"-$38,687",-9.43%,31,
,September,212,"$419,737","$410,187",-2.27%,"$4,231",1.04%,25,
,August,239,"$411,487","$405,956",-1.34%,"$20,844",5.41%,23,
,July,198,"$386,300","$385,112",-0.3%,"-$27,263",-6.61%,24,
,June,240,"$415,686","$412,375",-0.79%,"$16,563",4.18%,23,
,May,248,"$394,287","$395,812",0.38%,"$8,594",2.21%,15,
,April,231,"$391,037","$387,218",-0.97%,"-$14,607",-3.63%,13,
,March,237,"$402,037","$401,825",-0.05%,"$11,838",3.03%,13,
,February,163,"$391,812","$389,987",-0.46%,-$950,-0.24%,12,
,January,133,"$395,016","$390,937",-1.03%,"$3,562",0.91%,17,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,157,"$389,710","$387,375",-0.59%,"$14,375",3.85%,20,
,November,254,"$373,575","$373,000",-0.15%,"$1,500",0.4%,12,
,October,215,"$375,275","$371,500",-1%,"$8,063",2.21%,19,
,September,215,"$373,825","$363,437",-2.77%,"-$13,150",-3.49%,23,
,August,215,"$379,072","$376,587",-0.65%,"$5,975",1.61%,19,
,July,169,"$369,900","$370,612",0.19%,"-$20,913",-5.34%,19,
,June,271,"$374,898","$391,525",4.43%,"-$4,172",-1.05%,10,
,May,338,"$362,412","$395,697",9.18%,"-$41,052",-9.39%,7,
,April,387,"$366,550","$436,749",19.15%,"-$11,626",-2.59%,6,
,March,388,"$368,650","$448,375",21.62%,"$31,875",7.65%,5,
,February,242,"$367,425","$416,500",13.35%,"$57,738",16.09%,11,
,January,190,"$319,937","$358,762",12.13%,"-$6,210",-1.7%,9,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,160,"$352,200","$364,972",3.62%,"$30,847",9.23%,10,
,November,274,"$324,762","$334,125",2.88%,"$2,779",0.83%,9,
,October,296,"$314,812","$331,346",5.25%,"$4,184",1.27%,8,
,September,287,"$311,187","$327,162",5.13%,"-$2,588",-0.78%,7,
,August,318,"$300,175","$329,750",9.85%,$382,0.11%,8,
,July,264,"$305,798","$329,368",7.7%,"$8,368",2.6%,8,
,June,402,"$297,450","$321,000",7.91%,"-$2,227",-0.68%,7,
,May,429,"$298,787","$323,227",8.17%,"$14,577",4.72%,8,
,April,363,"$274,925","$308,650",12.26%,"$12,275",4.14%,8,
,March,276,"$278,675","$296,375",6.35%,"-$6,350",-2.09%,12,
,February,227,"$295,512","$302,725",2.44%,"$35,475",13.27%,7,
,January,170,"$263,925","$267,250",1.25%,"$6,875",2.64%,12,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,156,"$264,812","$260,375",-1.67%,"$2,900",1.12%,14,
,November,243,"$256,662","$257,475",0.31%,$525,0.2%,13,
