,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,230,"$805,075","$797,625",-0.92%,"$7,838",0.99%,16,
,May,262,"$801,625","$789,787",-1.47%,"-$19,838",-2.45%,16,
,April,261,"$816,750","$809,625",-0.87%,"$56,514",7.5%,17,
,March,194,"$766,445","$753,111",-1.73%,"-$33,814",-4.29%,14,
,February,142,"$805,975","$786,925",-2.36%,"$17,300",2.24%,17,
,January,125,"$791,249","$769,625",-2.73%,"$4,500",0.58%,26,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,97,"$792,925","$765,125",-3.5%,$650,0.08%,30,
,November,171,"$785,875","$764,475",-2.72%,"-$1,782",-0.23%,25,
,October,179,"$802,612","$766,257",-4.52%,"-$28,118",-3.53%,30,
,September,183,"$809,950","$794,375",-1.92%,"$18,913",2.43%,22,
,August,214,"$796,548","$775,462",-2.64%,"-$17,763",-2.23%,22,
,July,162,"$814,636","$793,225",-2.62%,"-$19,198",-2.36%,28,
,June,177,"$821,487","$812,423",-1.1%,"$18,823",2.37%,20,
,May,200,"$792,712","$793,600",0.11%,"$5,475",0.69%,17,
,April,186,"$807,698","$788,125",-2.42%,"$12,875",1.66%,17,
,March,177,"$792,500","$775,250",-2.17%,"-$14,375",-1.82%,19,
,February,132,"$813,562","$789,625",-2.94%,"$14,000",1.8%,17,
,January,99,"$783,075","$775,625",-0.95%,"$50,167",6.91%,28,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,100,"$718,675","$725,458",0.94%,"-$37,342",-4.89%,20,
,November,178,"$779,962","$762,800",-2.2%,"-$3,200",-0.41%,22,
,October,179,"$784,962","$766,000",-2.41%,"-$55,343",-6.73%,22,
,September,120,"$824,223","$821,343",-0.34%,"$30,968",3.91%,20,
,August,117,"$814,169","$790,375",-2.92%,"$10,763",1.38%,21,
,July,94,"$806,087","$779,612",-3.28%,"-$87,638",-10.1%,24,
,June,152,"$884,696","$867,250",-1.97%,"$35,000",4.2%,14,
,May,199,"$806,100","$832,250",3.24%,"-$116,250",-12.25%,8,
,April,312,"$858,936","$948,500",10.42%,"-$36,625",-3.71%,8,
,March,393,"$848,184","$985,125",16.14%,"$73,875",8.1%,6,
,February,292,"$789,000","$911,250",15.49%,"$62,889",7.41%,5,
,January,215,"$782,347","$848,361",8.43%,"$72,861",9.39%,8,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,172,"$762,074","$775,500",1.76%,"-$3,750",-0.48%,25,
,November,320,"$759,225","$779,250",2.63%,"$14,938",1.95%,13,
,October,317,"$737,736","$764,312",3.6%,"-$14,266",-1.83%,9,
,September,320,"$739,950","$778,578",5.22%,"$13,953",1.82%,9,
,August,343,"$740,200","$764,625",3.29%,"$24,800",3.35%,16,
,July,247,"$716,612","$739,825",3.23%,"-$21,500",-2.82%,16,
,June,466,"$714,849","$761,325",6.5%,"$28,025",3.82%,12,
,May,517,"$698,725","$733,300",4.94%,$800,0.1%,10,
,April,519,"$694,384","$732,500",5.48%,"$10,625",1.47%,10,
,March,437,"$674,722","$721,875",6.98%,"$39,775",5.83%,12,
,February,306,"$670,000","$682,100",1.8%,-$400,-0.05%,12,
,January,202,"$669,084","$682,500",2%,"$31,750",4.87%,14,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,177,"$636,300","$650,750",2.27%,"$39,400",6.44%,26,
,November,242,"$615,999","$611,350",-0.75%,"-$11,875",-1.9%,19,
,October,329,"$624,625","$623,225",-0.22%,"$3,350",0.54%,17,
,September,319,"$613,312","$619,875",1.07%,"-$32,125",-4.92%,13,
,August,287,"$650,687","$652,000",0.2%,"$20,213",3.19%,17,
,July,379,"$623,225","$631,787",1.37%,"$11,787",1.9%,15,
,June,440,"$616,897","$620,000",0.5%,"$5,250",0.85%,13,
,May,443,"$603,412","$614,750",1.87%,$200,0.03%,13,
,April,445,"$609,812","$614,550",0.77%,"$18,825",3.16%,12,
,March,377,"$577,987","$595,725",3.06%,"$4,700",0.79%,13,
,February,290,"$590,557","$591,025",0.07%,"$36,575",6.59%,12,
,January,168,"$560,437","$554,450",-1.06%,"$3,239",0.58%,22,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,161,"$565,362","$551,211",-2.5%,"-$6,351",-1.13%,18,
,November,249,"$562,325","$557,562",-0.84%,"-$5,063",-0.89%,19,
,October,309,"$569,058","$562,625",-1.13%,"$31,785",5.98%,21,
,September,317,"$540,000","$530,840",-1.69%,"-$31,010",-5.51%,17,
,August,286,"$572,350","$561,850",-1.83%,"$17,725",3.25%,19,
,July,338,"$545,950","$544,125",-0.33%,"$21,802",4.17%,20,
,June,397,"$525,912","$522,323",-0.68%,"-$18,427",-3.4%,16,
,May,416,"$546,950","$540,750",-1.13%,"$1,250",0.23%,13,
,April,358,"$545,694","$539,500",-1.13%,"$11,588",2.19%,13,
,March,338,"$524,100","$527,912",0.72%,-$588,-0.11%,13,
,February,272,"$531,261","$528,500",-0.51%,"$22,250",4.39%,14,
,January,150,"$511,572","$506,250",-1.04%,$88,0.01%,29,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,142,"$517,087","$506,162",-2.11%,"$2,975",0.59%,27,
