,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,June,198,"$539,900","$537,187",-0.5%,"$13,250",2.52%,13,
,May,237,"$527,548","$523,937",-0.68%,"$10,437",2.03%,15,
,April,199,"$514,562","$513,500",-0.2%,"$9,593",1.9%,17,
,March,150,"$509,072","$503,907",-1.01%,"$100,020",24.76%,19,
,February,100,"$405,587","$403,887",-0.41%,"-$86,113",-17.57%,11,
,January,85,"$496,687","$490,000",-1.34%,"-$29,212",-5.62%,20,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,65,"$530,200","$519,212",-2.07%,"$16,725",3.32%,18,
,November,121,"$508,550","$502,487",-1.19%,"-$5,638",-1.1%,16,
,October,139,"$520,806","$508,125",-2.43%,"$2,625",0.51%,15,
,September,124,"$512,947","$505,500",-1.45%,"$1,313",0.26%,24,
,August,164,"$515,937","$504,187",-2.27%,"-$16,813",-3.22%,23,
,July,120,"$527,875","$521,000",-1.3%,"$18,375",3.65%,24,
,June,155,"$508,837","$502,625",-1.22%,"-$16,937",-3.25%,15,
,May,170,"$528,687","$519,562",-1.72%,"-$7,788",-1.47%,15,
,April,171,"$533,462","$527,350",-1.14%,"$12,413",2.41%,18,
,March,152,"$515,962","$514,937",-0.19%,"-$28,163",-5.18%,11,
,February,96,"$542,400","$543,100",0.12%,"$55,700",11.42%,16,
,January,86,"$502,659","$487,400",-3.03%,"-$28,100",-5.45%,18,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,77,"$530,700","$515,500",-2.86%,"$10,250",2.02%,17,
,November,165,"$512,712","$505,250",-1.45%,"$15,250",3.11%,15,
,October,150,"$496,837","$490,000",-1.37%,"-$7,225",-1.45%,15,
,September,123,"$506,812","$497,225",-1.89%,"$1,463",0.29%,21,
,August,125,"$505,612","$495,762",-1.94%,"$2,825",0.57%,23,
,July,101,"$490,562","$492,937",0.48%,"-$29,438",-5.63%,16,
,June,159,"$507,175","$522,375",2.99%,"-$23,875",-4.37%,15,
,May,260,"$509,911","$546,250",7.12%,"-$14,500",-2.58%,9,
,April,281,"$490,925","$560,750",14.22%,"-$37,625",-6.28%,6,
,March,245,"$506,559","$598,375",18.12%,"$40,125",7.18%,5,
,February,174,"$493,574","$558,250",13.1%,"$53,815",10.66%,7,
,January,105,"$454,900","$504,435",10.88%,"$33,123",7.02%,5,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,94,"$449,050","$471,312",4.95%,"-$4,400",-0.92%,9,
,November,162,"$441,574","$475,712",7.73%,"$1,337",0.28%,8,
,October,172,"$461,162","$474,375",2.86%,"$24,375",5.41%,6,
,September,175,"$418,187","$450,000",7.6%,"$2,388",0.53%,7,
,August,207,"$426,150","$447,612",5.03%,"-$49,150",-9.89%,9,
,July,173,"$458,450","$496,762",8.35%,"$37,387",8.13%,7,
,June,267,"$434,450","$459,375",5.73%,"$30,508",7.11%,8,
,May,282,"$401,075","$428,867",6.92%,"$10,867",2.59%,7,
,April,273,"$388,562","$418,000",7.57%,-$748,-0.17%,7,
,March,222,"$387,175","$418,748",8.15%,"$16,026",3.97%,7,
,February,170,"$379,424","$402,722",6.14%,"$15,797",4.08%,9,
