Address,Postal Code,Latitude,Longitude,City,Neighbourhood,Price(in CAD),# of Bathrooms,# of Bedrooms,Height(in stories),# of Kitchens,# of Parking Spaces,Lot-Size(in km^2), Total Lot Size(in km^2),Basement(finished or not),House HTML
"86 Wessenger Dr, Holly, Barrie L4N8N7",L4N8N7,44.328711,-79.717816,Barrie,Holly,1880,2,3,2,1,3,14.22 x 35.00,497.7,No Basement,https://barrie.listing.ca/86-wessenger-dr.S4525638.htm#61-1l
"86 Wessenger Dr, Holly, Barrie L4N8N7",L4N8N7,44.328711,-79.717816,Barrie,Holly,1880,2,3,2,1,3,14.22 x 35.00,497.7,No Basement,https://barrie.listing.ca/86-wessenger-dr.S4525666.htm#61-1m
"1404 Harmsworth Sq, Iroquois Ridge South, Oakville L6H3E7",L6H3E7,43.486101,-79.686371,Oakville,Iroquois Ridge South,2900,2,4,1,1,2,39.50 x 100.39,3965.405,Finished,https://oakville.listing.ca/1404-harmsworth-sq.W4535657.htm#tc-11
"97 Pinehill Dr, Stoney Creek, Hamilton L0R1C0",L0R1C0,43.076196,-79.747773,Hamilton,Stoney Creek,3000,3,4,2,1,2,48.66 x 98.43,4789.6038,Finished,https://hamilton.listing.ca/97-pinehill-dr.X4516926.htm#1b-5b
"2350 Bridletowne Circ 806, L'Amoreaux, Toronto M1W3E6",M1W3E6,43.800991,-79.316049,Toronto,L'Amoreaux,3300,2,3,,1,2,,,No Basement,https://toronto.listing.ca/2350-bridletowne-circ-806.E4437773.htm#15-40u
"39 Brant St Locker, Waterfront Communities C1, Toronto M5V2L9",M5V2L9,43.645086,-79.39768,Toronto,Waterfront Communities C1,5000,0,0,,,,,,No Basement,https://toronto.listing.ca/39-brant-st-locker.C4446066.htm#15-3xd
"11 Charlotte St Locker, Waterfront Communities C1, Toronto M5V2H5",M5V2H5,43.645978,-79.393568,Toronto,Waterfront Communities C1,5000,0,0,,,,,,No Basement,https://toronto.listing.ca/11-charlotte-st-locker.C4445973.htm#15-3xe
"19 Grand Trunk Cres, Waterfront Communities C1, Toronto M5J3A3",M5J3A3,43.622398,-79.492143,Toronto,Waterfront Communities C1,5500,0,0,,,,,,No Basement,https://toronto.listing.ca/19-grand-trunk-cres.C4503939.htm#15-26q
"25 Lower Simcoe St, Waterfront Communities C1, Toronto M5J3A1",M5J3A1,43.650285,-79.36779,Toronto,Waterfront Communities C1,5500,0,0,,,,,,No Basement,https://toronto.listing.ca/25-lower-simcoe-st.C4503871.htm#15-26r
"238 Bonis Ave, Tam O'Shanter-Sullivan, Toronto M1T3W7",M1T3W7,43.785751,-79.289428,Toronto,Tam O'Shanter-Sullivan,7000,0,0,,,,,,No Basement,https://toronto.listing.ca/238-bonis-ave.E4443432.htm#15-3yf
"125 Village Green Sq, Agincourt South-Malvern West, Toronto M1S0G3",M1S0G3,43.725425,-79.481614,Toronto,Agincourt South-Malvern West,9800,0,0,,,,,,No Basement,https://toronto.listing.ca/125-village-green-sq.E4422827.htm#15-44l
"325 Webb Dr P1-U29, City Centre, Mississauga L5B3Z9",L5B3Z9,43.585293,-79.642067,Mississauga,City Centre,10000,0,0,,,,,,No Basement,https://mississauga.listing.ca/325-webb-dr-p1-u29.W4462224.htm#r-zb
"325 Webb Dr P1-U28, City Centre, Mississauga L5B3Z9",L5B3Z9,43.585293,-79.642067,Mississauga,City Centre,10000,0,0,,,,,,No Basement,https://mississauga.listing.ca/325-webb-dr-p1-u28.W4462204.htm#r-zd
"265 Enfield Pl P2-B156, City Centre, Mississauga L5B3Y6",L5B3Y6,43.591145,-79.634261,Mississauga,City Centre,11000,0,0,,,,,,No Basement,https://mississauga.listing.ca/265-enfield-pl-p2-b156.W4462630.htm#r-z4
"325 Webb Dr P1-U69, City Centre, Mississauga L5B3Z9",L5B3Z9,43.585293,-79.642067,Mississauga,City Centre,12000,0,0,,,,,,No Basement,https://mississauga.listing.ca/325-webb-dr-p1-u69.W4462180.htm#r-za
"325 Webb Dr P1-U68, City Centre, Mississauga L5B3Z9",L5B3Z9,43.585293,-79.642067,Mississauga,City Centre,12000,0,0,,,,,,No Basement,https://mississauga.listing.ca/325-webb-dr-p1-u68.W4462220.htm#r-zc
"7 Lorraine Dr Parking, Willowdale West, Toronto M2N2E3",M2N2E3,43.777806,-79.417299,Toronto,Willowdale West,12000,0,0,,,,,,No Basement,https://toronto.listing.ca/7-lorraine-dr-parking.C4413522.htm#15-467
"2476 Post Rd, River Oaks, Oakville L6H0K1",L6H0K1,43.469175,-79.685404,Oakville,River Oaks,15000,0,0,,,,,,No Basement,https://oakville.listing.ca/2476-post-rd.W4520730.htm#tc-3o
"3939 Duke Of York Blvd P2-18, City Centre, Mississauga L5B4N2",L5B4N2,43.59094551,-79.64590411,Mississauga,City Centre,19888,0,0,,,,,,No Basement,https://mississauga.listing.ca/3939-duke-of-york-blvd-p2-18.W4514263.htm#r-em
"2091 Hurontario St 13, Cooksville, Mississauga L5A4E6",L5A4E6,43.570862,-79.602972,Mississauga,Cooksville,20000,0,0,,,,,,No Basement,https://mississauga.listing.ca/2091-hurontario-st-13.W4411657.htm#r-13n
"51 Baffin Crt 3, Langstaff, Richmond Hill L4B4P6",L4B4P6,43.84565564,-79.42997986,Richmond-hill,Langstaff,20000,0,0,,,,,,No Basement,https://richmond-hill.listing.ca/51-baffin-crt-3.N4493307.htm#1-ge
"2460 Eglinton Ave Parking, Eglinton East, Toronto M1K5J7",M1K5J7,43.734209,-79.26005,Toronto,Eglinton East,20000,0,0,,,,,,No Basement,https://toronto.listing.ca/2460-eglinton-ave-parking.E4425284.htm#15-43z
"170 Sudbury St Parking, Little Portugal, Toronto M6J0A1",M6J0A1,43.7679803,-79.4872619,Toronto,Little Portugal,20000,0,0,,,,,,No Basement,https://toronto.listing.ca/170-sudbury-st-parking.C4386546.htm#15-49o
"50 Turntable Cres A23, Dovercourt-Wallace Emerson-Junction, Toronto M6H4K9",M6H4K9,43.665844,-79.437334,Toronto,Dovercourt-Wallace Emerson-Junction,22000,0,0,,,,,,No Basement,https://toronto.listing.ca/50-turntable-cres-a23.W4402866.htm#15-483
"4090 Living Arts Dr P2026, City Centre, Mississauga L5B4M8",L5B4M8,43.588679,-79.645889,Mississauga,City Centre,24900,0,0,,,,,,No Basement,https://mississauga.listing.ca/4090-living-arts-dr-p2026.W4444906.htm#r-11z
"4090 Living Arts Dr P3030, City Centre, Mississauga L5B4M8",L5B4M8,43.588679,-79.645889,Mississauga,City Centre,24900,0,0,,,,,,No Basement,https://mississauga.listing.ca/4090-living-arts-dr-p3030.W4444891.htm#r-120
"233 South Park Rd Parking, Commerce Valley, Markham L3T0B3",L3T0B3,43.877997,-79.292654,Markham,Commerce Valley,25000,0,0,,,,,,No Basement,https://markham.listing.ca/233-south-park-rd-parking.N4381667.htm#a-ts
